index (uint256),account (address),amount (uint256),merkleProof (bytes32[]),"LDO airdrop amount
(don't paste on Etherscan)"
0,0xFFF8A72C72E0D5E08E85be05868990e8E4EeF2dA,0x31868e31c783c,"[0x357008ace17a82e9a7e30b0e087bc7834046d66e6657873269a4a566dab034b6,0xc3a3af477faf3d29bd8dcb7bdf00238b8fd54274d801e0e4c7d9dcd39f555660,0xa3b5b3948347af4cd84f21218ee9389ca93711c05a9b8fe0a45bab3aed3d3cf7,0x606a3a54477dc85c0b4ad9f0513375580ae61302323ec7adc2857fd93842d74b,0x98f026a4d7e4700e665660b8387eb52e53c5076561391b2cfc3584876c33ffaf,0x2eead6e3476a1c3174efc99c70842f4da3d305b9f521c2136886f775a9936659,0x9e4832dec37b678184e2d5ec111fbe9b815125a45083c0fda81a8c5c9a707abd,0x730cc32a62543a50ab5b56c2caee89a7dcab839088561bf119fe7bc9ad64c508,0x162d14a519d52626b10b1b7674ffae9194e78de8f2626a0f26de8151baaa494d,0xe7183f1045e514b796a7daee23472f8edbb12457b13672d2f39225702672452a]",0.0009 LDO
1,0x366e58737164430AF4AEd2856840be9BB148BDC7,0x87608d7f8c563,"[0xe53963aa1a64186498a66511846c02a22da688ddd8257fde8b846dd965503307,0xac07e315e8d0409559864a77fd9da3849a0e20ebfa5c98835e9e1058592d7c1a,0x509d13c40c5f582daff7f8be1d6f866927cd4b340b4c5da2a4cef5697d6c7ea4,0x05a0e77e73456272799af3e6eeb5a3ac26bf5981ea41e8de9078939297f7964d,0x51cba7fad08b701d0034eec9f133a871346594eb49f4bd4c409fad1430934c44,0xcb2c8505586c19c5537bc9c82665d2a1aa4e64b2dff79d9eba061c48d53a00b1,0x25c45a7a5a41d8b0af53217d1d73d14fd69455c18d52f56ff3f68e09264ee532,0xc7885def713d262f2331190376df15e8faa0678ec4c72f969bd3ce39086b2227]",0.0024 LDO
2,0xc405Beb918F296CdFEF155DB18da0A1666930C86,0x1bbb4675ea83b9,"[0x00bd4efb6f452f8a510664c2f58f5904e32af62fc5f8edf961a353d32b4f1e65,0x75b0582a21e95714cd46faae27e4986cfa695ae92a9aca171ebb503f74ec342c,0x182ae52b42901bd7af376a2691e540353fbf315bf7acafa1ccc8f68b8450e763,0xacd89e966d281f14fae1809844c56ea111394d5ac87524f8a3efd02d70b39f80,0x78909d3ce204e0c788ff9103fbe1f353b3aa7cec6a242f16e863634818b90d6d,0x0b2d12d6c8a178312590a4de3ed6175a1d9a8bbd1d436c131ab57f2453638df2,0xa00fb7ad250197ac40e1238cc460fdc5ec2bdf213c14f71737ab18f52e842818,0x730cc32a62543a50ab5b56c2caee89a7dcab839088561bf119fe7bc9ad64c508,0x162d14a519d52626b10b1b7674ffae9194e78de8f2626a0f26de8151baaa494d,0xe7183f1045e514b796a7daee23472f8edbb12457b13672d2f39225702672452a]",0.0078 LDO
3,0xCFfA182Cd56E854c9ffAcd288CA8E06a51831C28,0x1c634779518e52,"[0xfed8b45727494468360e7e4e4a31e9a90e4ee077881473bf5c8f4ed4d0057ebb,0x224a1cd9d664c441915c70a951a6108f065f099bf161da7fd5dd784b275aeb47,0xf69a4a83513585bc988956993c1fadc56d0dc757286bfdd08b406d6a4ba06a6a,0x57560897313106cbd874dd40ca7015449edb81d35a35361510790b80b60d3e6f,0x3651d021f1ae7d52511201af063271ac1c824bcc1a53dd8377805c9f1de1f3dc,0xc7885def713d262f2331190376df15e8faa0678ec4c72f969bd3ce39086b2227]",0.0080 LDO
4,0x224443005fD9b19331cc688Ba6f80E3411Fa5581,0x2f320b3d066206,"[0x4834c164437d5bf9f62ea22790cee338ffc3ee083350e180f946406669bea3da,0x57bee22685db261702d94f27bcc34906aabd14c0a51670297b9f1a897daa2fe4,0x09a7278574297eab8f19995a089078bae33bb0c2b1d3b1d18f203034cdba2173,0xa3ff3122437c061bafae34c366ebe8014fdecb0fdb572a77165b90bd4a2d53ee,0xc6f2d9f9dfe5a26f807c9f25005409c27e947ac1fff662816e54b30878d75221,0x559a6dd17bf824072143a2d64c7780a1660d3d515f974a710ace6c15227cc72f,0x3fea9c8ede70cdf0d3fe28c0f9432d81c16df590301ce47cde7591a9051bdac1,0x7bbfb67bd371adc50d784a18d2c1a2a74a21c01866bf955a25610a6bf4c70ba1,0x162d14a519d52626b10b1b7674ffae9194e78de8f2626a0f26de8151baaa494d,0xe7183f1045e514b796a7daee23472f8edbb12457b13672d2f39225702672452a]",0.0133 LDO
5,0xFf2Fe3a3EC809A0F3A00F32e29Ca096D359E4aa4,0x31f702e9bfdc9a,"[0xf26db0e77ac6c52c60664185651fd86d451d272901ffd8500af0973fff572ceb,0xa4a6ba275cfe529028e81ae63bfebfcd294e57677cc043ef51d587373888bfc6,0x83d8bcbb1aeacfa9c2fe162632ec18c4017a5d3b448c5db71386181146e66032,0xa0b91c853e8b5bb73392558439b8dc3c79e0f65237280ae164fb91f6b12fe17e,0xf7027a141449da4bf68d778de5ab9c0eb93c98fe1eb5219f8d5c591cc8548420,0x9ed17d05efe71d5ac18931a62b4ce5542eb04cdaea8d6d65f41eaf137f6c5dce,0x3651d021f1ae7d52511201af063271ac1c824bcc1a53dd8377805c9f1de1f3dc,0xc7885def713d262f2331190376df15e8faa0678ec4c72f969bd3ce39086b2227]",0.0141 LDO
6,0xc645Be12020daF0669Dd5FfC7f62AeBAD74Aac96,0x48c95c6e89acbc,"[0x6a1b9b93aa2653489d12fbaca62e9aea38f146259fc879e95db35d281a8850ad,0x089a9b6ef0a27c0c86522221c943da2b14cd762abb77213bd663869eb5274d46,0xf0e3e31700bf16218af8d83aac906ee0ab2bb44e67d12ced9b5d0f23209d48cb,0x757726df7df6d349cb736ec91ccc142d1c55c1d4368b6055cf1f4cef0a9b79b8,0xae18a7eed386b98783d0e5fcd746825089b0463fd5b6e9de02e10585696c093b,0xe50584b384f99f430a4e48cf582a1258140ecd5c28662fe10b1334648176eb07,0x3abe33567533d0343fc1d4c0761562387788c990015181767b51a9bf478de65e,0xc31b4fec09edb45ed0e1e72184ad81c8100d5d2b2a17fe0d760b989b467b0ca3,0x549c11bcd34de391a955ad949a3de5b6d1fa2ace3ee999009013597b999db83f,0xe7183f1045e514b796a7daee23472f8edbb12457b13672d2f39225702672452a]",0.0205 LDO
7,0x000000ED5113006B6f24002dd7577Bb547e2005A,0x4baba359aa4048,"[0x44c4e8592ad653e33614bd87e754e6ddaf199259c5baf18aafd443b108bf2e86,0xf70a2902a5a2f1de975f471b90bc00e9178072eb3565414b8a878b2d4594af9b,0x88b8b5d32cdea28683f0fa6a764ff7d1e0deab496703adc1a11c37b4990e784f,0x079f5e46a44375c76fb38f35787e0daba0e689e42cee80176625f83f53469ec5,0x66e524121c96204d0a9ee57e27c7cd6ce57a2f03e3c6b9a504259a183f786c9a,0x559a6dd17bf824072143a2d64c7780a1660d3d515f974a710ace6c15227cc72f,0x3fea9c8ede70cdf0d3fe28c0f9432d81c16df590301ce47cde7591a9051bdac1,0x7bbfb67bd371adc50d784a18d2c1a2a74a21c01866bf955a25610a6bf4c70ba1,0x162d14a519d52626b10b1b7674ffae9194e78de8f2626a0f26de8151baaa494d,0xe7183f1045e514b796a7daee23472f8edbb12457b13672d2f39225702672452a]",0.0213 LDO
8,0x74D5477bca8CD2E12Bc755FfC65084A170A190E6,0x505e39b0597210,"[0xd482af2365ae5e841414c9ad30131eee7973f3a60363781706cb5d44cdb0e5f8,0x7d8f4e49644d6d5a2317889a47beceffde10b472226e87983d5ea290939bb440,0x694d4188acf2924d9cd9d207fed4967bb7a0b58e04745afe7e2b4af601ceafda,0x95d3146352c9208349ae739b72489332ac90fa7dc99369727819764f907477fa,0xcca76d685e039633078fe409a8a1438a43017815db3f44c26ba692d5155b5165,0x6edfad579184a0900f4d86e61528707762e1d9413d603fbb85f5ae786ab82387,0x25c45a7a5a41d8b0af53217d1d73d14fd69455c18d52f56ff3f68e09264ee532,0xc7885def713d262f2331190376df15e8faa0678ec4c72f969bd3ce39086b2227]",0.0226 LDO
9,0xA4B388f778ff8e1e024dde9ED129a82354692eed,0x51e9f7e004257c,"[0xe248ee8d7a5190ab02bc75b6eac55645c27e0630d7cf14a05343ca3490799017,0xc3b24c99cd514162971765fd5bda1c466b630761f92bc26586899cf6c40b6345,0x3603519cd112bfe2d366b8f959797775faaa63d7c302dacc072a78baf7496352,0x1c72bd45441528217dc4c2be867c7b23452be68661129c465564e965d99d2940,0x51cba7fad08b701d0034eec9f133a871346594eb49f4bd4c409fad1430934c44,0xcb2c8505586c19c5537bc9c82665d2a1aa4e64b2dff79d9eba061c48d53a00b1,0x25c45a7a5a41d8b0af53217d1d73d14fd69455c18d52f56ff3f68e09264ee532,0xc7885def713d262f2331190376df15e8faa0678ec4c72f969bd3ce39086b2227]",0.0231 LDO
