index (uint256),account (address),amount (uint256),merkleProof (bytes32[]),"LDO airdrop amount
(don't paste on Etherscan)"
0,0x856b63349fB6c818ea7cD7305483Ae0EF6956f6c,0x29cf09af371391,"[0x8e36d940c69b77727703b7873188f811a654d1fc1068e6d716573e1815ee0d4a,0x5d13a62ce8d27510ca9df98e8ba8b8c8ed5b176f032bf5d54fa871cab5113b53,0x5f03fc856335dea501c5046f9e4c1e1e356c434d916934b1911f6f6d5df9d3b5,0xf9644e8db9c470cfc7d8d1b8a6a97a8f6beb61fd631a477b63922b4ec5b1d3a8,0x0da0a58ca88daf1d95c011d20b343922150a69f6f8996b937f6f4bff7ee1e398,0xa1870e1c72ea5de02ab3648adbf2dbbb86a0e753099626c84c23c2cccfee45f5,0xf3f0fc2fca76f2f10bc2583f6e0c93e31c4d535c256b06a001141292c6d6be68,0xc1eefc09dee08a990fb1fc67d8000ae1b5fdaba95078e712cb57bbc074d7147b,0x6862dd1d67e32fb30097908c8ad81b260854c9432d759f936dd6865961cf7cf5]",0.0118 LDO
1,0x3A2B576Ef1884f10c4b18C06D55E7C07fdE4eC12,0x21a330035920274,"[0xcf4971ac1f4cc621ead33fd8aadd5f33afa2dd212cf84503439ce60f03a47267,0xefa41cc08b2c64f3b155d34e1bae5a80855a7aeaef73303f19db6d5036622bfd,0xb09a410b90bf163bc529f6f7065c952165b29f6430374fef2e65a65ad583d9d9,0x4626f02f41df60615bebf09c9e718eb5110ccb5b2439ea3c3e2cfd23b63a22ff,0xa677f6fb232b668c42156e2850ede0530afc6cd428818d043f4914d551bd922d,0x9a59f55e3bde26586883a6ae9243a8fd6e6bd06a7c35a886c198fc6b12e99330,0x605ae1819a445a0b0f4670f86ae329b0dc67b677378189a1e9377ed1a5d8a067,0x641c6e7f9b34ccf8fab4e53c67fd4ff4a5af7e00cfebd304c4aa129b48ffe8e0,0x2e171a10ed7d2dbc7d4310b74d7f8fdc99495c15af8d4aae2220ef3ce7da84dc]",0.1515 LDO
2,0xeFdFbe1e0248D6756F6B82f48CA2d817c7FdF8E2,0x288a75f4c40999c,"[0xc3834b3c4f33afb5f12e4dd778e228fac8d0f743f6c50438ecd52398243c8f42,0x33b87285049d84515b4606a8d2e372ce8e01ee9b3ead8dfb5f8cd946bdc36edc,0x0fc1b6741dbe646b979aad1c93732e2ac8ca16e7d265c43787b812d3b307b8d3,0x9cb547271a707656443cebe748f1bdf2afc28269351bc669df7eedb6e84adcd1,0xc4da267147e3016e2678e32f1cef69b270db190c4839051f35c96a24f674a8d8,0xcd3b8a83184dc3d27704fa26dd5cd10c969c2162c8a1eae9c631e0db12f684a6,0x605ae1819a445a0b0f4670f86ae329b0dc67b677378189a1e9377ed1a5d8a067,0x641c6e7f9b34ccf8fab4e53c67fd4ff4a5af7e00cfebd304c4aa129b48ffe8e0,0x2e171a10ed7d2dbc7d4310b74d7f8fdc99495c15af8d4aae2220ef3ce7da84dc]",0.1826 LDO
3,0x91d65746479297429d648E0BD29A657e58e654bF,0x337916d11eab4e2,"[0x44e32221da37eb826fc2fa8e6ed256ea39de404afacdfea7957772681dc27351,0xab86d99bfad57c4915d8b39832f5621fdd8c59426797a4d1219a2f077e75f6e6,0x64e1b05d00ebd0284aa80b982e036bbfc3d61cf6d80c6faa739685fa960f8892,0xfb32ebd0875678e36a25d382d5841753e735048b558a522acd2a128325c8671b,0x966c0b8d139ac014dc95179274561ac3e52b1e443cdfdc308a72a29162687f56,0x1a717c2d089319914ec2c755dbf6dbe3cd804ef23458820f0292dff7a57f1ffc,0x4c4291219b1b5f702e9edfa2c39c4dceec517b20e13b20b7e16e8d80c52daabe,0xb3d498c9c35abb1acf28ddfbac05789d42d34bba8975c1f2779ef40063274dd0,0x6862dd1d67e32fb30097908c8ad81b260854c9432d759f936dd6865961cf7cf5]",0.2318 LDO
4,0xCF8068D88d396531A54aE15aF8E911AD644a6097,0x52d3bdbf6af2957,"[0x87757f6bbf040c2d84658419649be458f5a7218f87042874f1ff0931d5465d11,0x1817054718cf3763dad6046d72e1ba884ef019f5202925c755a738e3f45b4eca,0x4251108c0bf1b7931b3f617347e983ccadd68844fbfc6514aadb9d989eb761a2,0x576acc85c64380278fd17895fe104e396eaba74bedca28267aedbc1131801f39,0x7b0019ded3cca04f21746a3e1cf2214751e292cc7c9d4b366f7ae5c434be5916,0xa1870e1c72ea5de02ab3648adbf2dbbb86a0e753099626c84c23c2cccfee45f5,0xf3f0fc2fca76f2f10bc2583f6e0c93e31c4d535c256b06a001141292c6d6be68,0xc1eefc09dee08a990fb1fc67d8000ae1b5fdaba95078e712cb57bbc074d7147b,0x6862dd1d67e32fb30097908c8ad81b260854c9432d759f936dd6865961cf7cf5]",0.3730 LDO
5,0x083d3466E4F74E0880996A3c94136ac2587Cd7c8,0x5cc03d67c0381ab,"[0x82c6fd0dff1e26a7c259720af676857a39a5cab800c2b972b61ff222b734bbbf,0xae84111b4f04a0a0706c2a18d0762a807824acb673d159f2776836bb0827a349,0x84724e522a97748a82113a54d8bf84e9ff7bfa1b2815b50dae9cd9d64275c0d0,0xbf42b5f2ad3524fd97f15e2e4418a65ba76abced7143b59cc8b1189edd8e292b,0x129f8edca4bf5e0b913e49c82972f4e8c0bfe2a07783f8fd4edf23325ccc5536,0x0cf5aafad396a831264a2b3b7cdabfd21e2c9610f9c8d382fd2e11006136e5d4,0xf3f0fc2fca76f2f10bc2583f6e0c93e31c4d535c256b06a001141292c6d6be68,0xc1eefc09dee08a990fb1fc67d8000ae1b5fdaba95078e712cb57bbc074d7147b,0x6862dd1d67e32fb30097908c8ad81b260854c9432d759f936dd6865961cf7cf5]",0.4177 LDO
6,0xFD88b51EBe05D6C074add8280f4321d5fE5394A1,0x5e8c92f87d6bded,"[0xde881db0ce4b5fd14e74f25b3e354b8e5f00446a607603fd203dbc6217956615,0xc428eaa729a9b0e2e08cfb376057af1dfbf24d4b72e0e73d92c5b84503b65627,0xb06232f1037e06d6393d926dbf823786bc71ea10f24ed72188678d1754e6561b,0xc06d21aaef1d3319f4e41c3e34f6a9e0ffa1e2ef00a5c18e00c9ef80e9c82396,0x3bf61d88d75f47234a4b41708c9c5d5cdd90914a545d7ff9c228055bfdb9125b,0x97c62e89908dcbc680b8550695a3da0dade1bf7573f1f449ea758f09cf7b95d6,0x0dd60282aee209cc35ceb8139cdacee5b94eaedeed4c919bc37d1bd99083f2af,0x8d9eeb85788c6e8a24ee85f33d945ce777c062c03aa08b724b1f695c86eeb363,0x2e171a10ed7d2dbc7d4310b74d7f8fdc99495c15af8d4aae2220ef3ce7da84dc]",0.4258 LDO
7,0xa01486C07B3aB747722F69383DDE42c924d043d3,0x86ec74c816837ba,"[0x93f18a3faa2c1241818bba325462eb7130914d91b53a305e930d39f0ca5af70c,0xee5f5893d77cde781db0f3a0018975a7594b24d1b2dc16bb415a1b298941358d,0x4bb46fb9487c22a84fe6139e37c9350b3663d0a52848b9e070661f4e9e87bb56,0xee6650493dacfa0ee4f8e167bb032c16a049c06cd88b2ccc5ad3b9eead149438,0xe88fde5af2105ca89a7c9d307067da09af3bcf08c55b8cd40bf36f4b867700de,0x2d9c12e17641e88fdd69035049ce355f5346cd6195a7ccc7cb897902b1c0af57,0xbd70e83948a978ab5dce87f0e898792a192060715b84609e2dd37a18bd140afc,0x641c6e7f9b34ccf8fab4e53c67fd4ff4a5af7e00cfebd304c4aa129b48ffe8e0,0x2e171a10ed7d2dbc7d4310b74d7f8fdc99495c15af8d4aae2220ef3ce7da84dc]",0.6076 LDO
8,0x331B655C1f4c4266c7A20a645a6c086Aef8C3A3e,0x87d217f9fc23cc9,"[0x07c50e7d79df1965328ce4327daf1c4faa8dd6764a3eb2ef8eb240cbd9eb407b,0x496d370369e08655ed8d1ce0d73ec74e25b337494f632742826278079b6ca9c7,0x79e3b9b585c37cb0dd07a79d97c636b68d399e2aabd29781b213ded92173d277,0x175de73cad6da1170aa6558e29be3df589e3bcf41cc2c0a2bed3c875a32776e4,0xcbed15bd17afaeeb4257edadaaf2f6823fd7d0061056a712977313407a43d423,0xdd82bdb42db7301ecee5d184fbffbdcd7d1dc64f43fe618eeba466c1356c4fd2,0x0282da413887f1e1421c5a0c8108e3b0d213b13dafe9d9f7bc44068f775f1c79,0xb3d498c9c35abb1acf28ddfbac05789d42d34bba8975c1f2779ef40063274dd0,0x6862dd1d67e32fb30097908c8ad81b260854c9432d759f936dd6865961cf7cf5]",0.6117 LDO
9,0x64823B19255825A0db8a9FC34B032adE9fba7B83,0xc73a00f43d75341,"[0xe2a69d8197ff8a5fb5bb63a53eb4efc8bde522d78f59e467dff10febe6c9c45a,0x730cd2c2fdbf03bec0a8472c33c221159cf3f1e49854440cf7d6c3a634f28c96,0xc84764278a4a627146e783374ec06ea6c1732ff3685b5f8d1c6308a2395f5d16,0x34e9a850ad63927fe5bbe7552801fec934c933f70b39b78736b6b7dc6ebb8162,0x69a12d6c72310b68e6d0cf99427b3a136e8c45dea2026fdcec278c926326acf2,0x97c62e89908dcbc680b8550695a3da0dade1bf7573f1f449ea758f09cf7b95d6,0x0dd60282aee209cc35ceb8139cdacee5b94eaedeed4c919bc37d1bd99083f2af,0x8d9eeb85788c6e8a24ee85f33d945ce777c062c03aa08b724b1f695c86eeb363,0x2e171a10ed7d2dbc7d4310b74d7f8fdc99495c15af8d4aae2220ef3ce7da84dc]",0.8972 LDO
